Kingdom,Order,Genus,Species,Life stage,Primary Reference,Primary Reference Link,Secondary Reference,Secondary Reference Link
Animalia,,Oedaleus,senegalensis,"Egg, adult","Colvin, 1996; Idrissa et al., 2008",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Dictyoptera,Periplaneta,americana,"Nymph, adult","Treherne and Willmer, 1975; Dambach and Goehlen, 1999",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Dictyoptera,Blattella,germanica,"Nymph, adult","Treherne and Willmer, 1975; Dambach and Goehlen, 1999",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Phasmida,,Carausius morosus,"Egg, larva","Tichy, 1979",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Plecoptera,,Protonemura intricate,"Egg, larva","Harper and Hynes, 1970; Marten and Zwick, 1989; Lancaster et al., 2010",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Isoptera,Macrotermes,carbonarius,Adult,"Hu et al., 2012",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Isoptera,Macrotermes,gilvus,Adult,"Hu et al., 2012",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Isoptera,Coptotermes,formosanus,Adult,"Hu et al., 2012",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Isoptera,Neotermes,jouteli,Adult,"Hu et al., 2012",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Isoptera,Cryptotermes,cavifrons,Adult,"Hu et al., 2012",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Isoptera,Cryptotermes,brevis,Adult,"Hu et al., 2012",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,,,,"Zukowski and Su, 2017",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Dermaptera,Labidura,riparia,"Nymph, larva, adult","Kharboutli and Mack, 1993",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Hemiptera,Cryptopygommya,facialis,Nymph,"Moriyama and Numata, 2010, 2011",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Hemiptera,Graptopsaltria,nigrofuscata,Nymph,"Moriyama and Numata, 2010, 2011",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Cimex,lectularius,Adult,"Benoit et al., 2007a",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Leptocoris,varianus,"Larva, pupa","Wickson et al., 2012",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Lepidoptera,Chlosyne,lacinia,"Egg, Larva, Adult","Clark and Faeth, 1998; Willmer, 1980; Mazer and App, 2001; Rowley and Hanson, 2007; Davies et al., 2013",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Lepidoptera,Pleris,brassicae,"Egg, Larva, Adult","Clark and Faeth, 1998; Willmer, 1980; Mazer and App, 2001; Rowley and Hanson, 2007; Davies et al., 2013",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
