"Rose A. Marks, Jill M. Farrant, D. Nicholas McLetchie, and Robert VanBuren - American Journal of Botany - 2020 - Appendix S1",,,,,,,,,,,
Division,Class,Order,Family,Genus,Species,Minimum RH (%),Minimum RWC (%),Homoi vs poikilochlorophyllous,Evidence of priming or hardening ,Tissues differ in recovery,Citation
Bryophyta,Bryopsida,Hypnales,Hylocomiaceae,Rhytidiadelphus,triquetrus,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Hypnales,Hypnaceae,Hypnum,cupressiforme,30,,homoi,,,"Deltoro et al 1998, Cruz de Carvalho 2020 "
Bryophyta,Bryopsida,Hypnales,Lembophyllaceae,Isothecium,subdiversiforme,30,,homoi,,,Ochi 1952
Bryophyta,Bryopsida,Hypnales,Lembophyllaceae,Pilotrichella,ampullacea,30,,homoi,,,"Proctor 2002, Proctor 2010"
Bryophyta,Bryopsida,Hypnales,Lembophyllaceae,Pilotrichella,flexilis,80,,homoi,,,Leon-Vargas et al 2006
Bryophyta,Bryopsida,Hypnales,Lembophyllaceae,Weymouthia,cochlearifolia,43,,homoi,,,Proctor 2004
Bryophyta,Bryopsida,Hypnales,Lembophyllaceae,Weymouthia,mollis,43,,homoi,,,Proctor 2004
Bryophyta,Bryopsida,Hypnales,Leptodontaceae,Forsstroemia,cryphaeoides,30,,homoi,,,Hosokawa & Kubota 1957
Bryophyta,Bryopsida,Hypnales,Leptodontaceae,Leptodon,smithii,30,,homoi,,,Proctor and Tuba 2002
Bryophyta,Bryopsida,Hypnales,Leucodontaceae,Leucodon,sciuroides,30,,homoi,,,"Deltoro et al 1998, Proctor 2003, Proctor 2010"
Bryophyta,Bryopsida,Hypnales,Leucodontaceae,Pterogonium,gracile,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Hypnales,Meteoriaceae,Floribundaria,floribunda,30,,homoi,,,Proctor 2002
Bryophyta,Bryopsida,Hypnales,Meteoriaceae,Meteorium,nigrescens,80,,homoi,,,Leon-Vargas et al 2006
Bryophyta,Bryopsida,Hypnales,Meteoriaceae,Zelometeorium,patulum,43,,homoi,,,Pardow & Lakatos 2013
Bryophyta,Bryopsida,Hypnales,Neckeraceae,Macrosporiella,cozyoides,30,,homoi,,,Ochi 1952
Bryophyta,Bryopsida,Hypnales,Neckeraceae,Macrosporiella,scabriesta,30,,homoi,,,Hosokawa & Kubota 1957
Bryophyta,Bryopsida,Hypnales,Neckeraceae,Neckera,complanata,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Hypnales,Neckeraceae,Neckera,crispa,30,,homoi,,,Dilks and Proctor 1974
Bryophyta,Bryopsida,Hypnales,Neckeraceae,Neckera,yezoana,30,,homoi,,,"Hosokawa & Hubota 1957, Ochi 1952"
Bryophyta,Bryopsida,Hypnales,Neckeraceae,Thamnobryum,sandei,30,,homoi,,,"Hosokawa & Hubota 1957, Ochi 1952"
Bryophyta,Bryopsida,Hypnales,Phyllogoniaceae,Phyllogonium,viscosum,80,,homoi,,,Leon-Vargas et al 2006
Bryophyta,Bryopsida,Hypnales,Plagiotheciaceae,Plagiothecium,cavifolium,30,,homoi,priming,,Wood 2007
Bryophyta,Bryopsida,Hypnales,Plagiotheciaceae,Plagiothecium,denticulatum,30,,homoi,priming,,Wood 2007
Bryophyta,Bryopsida,Hypnales,Plagiotheciaceae,Plagiothecium,nemorale,30,,homoi,priming,,Wood 2007
Bryophyta,Bryopsida,Hypnales,Plagiotheciaceae,Plagiothecium,platyphyllum,75,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Hypnales,Plagiotheciaceae,Plagiothecium,succulentum,30,,homoi,priming,,Wood 2007
Bryophyta,Bryopsida,Hypnales,Plagiotheciaceae,Plagiothecium,undulatum,30,,homoi,,,Dilks and Proctor 1974
Bryophyta,Bryopsida,Hypnales,Prionodontaceae,Prionodon,densus,30,,homoi,,,Leon et al 2006
Bryophyta,Bryopsida,Hypnales,Pterobryaceae,Pterobryon,arbuscula,30,,homoi,,,Hosokawa & Kubota 1957
Bryophyta,Bryopsida,Hypnales,Stereophyllaceae,Stereophyllum,radiculosum,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Anomodon,giraldii,30,,homoi,,,Hosokawa & Kubota 1957
Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Anomodon,longifolius,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Anomodon,rostratus,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Anomodon,viticulosus,30,,homoi,,,"Hinshiri & Proctor 1971, Proctor 1972, Proctor 2010, Hearnshaw and Proctor 1982"
Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Anomondon,viticulosus,50,,,,,Proctor 2010
Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Boulaya,mittenii,30,,homoi,,,Hosokawa & Kubota 1957
Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Thuidium,cymbifolium,30,,homoi,,,Hosokawa & Kubota 1957
Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Thuidium,japonicum,30,,homoi,,,Ochi 1952
Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Thuidium,tamariscinum,30,,homoi,,,Smirnoff 1992
Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Thuidium,urceolatum,75,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Groutiella mucronifolia,mucronifolia,43,,homoi,,,Pardow & Lakatos 2013
Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Macromitrium,gymnostomum,30,,homoi,,,Hosokawa & Kubota 1957
Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Macromitrium,cf. leprieurii,43,,homoi,,,Pardow & Lakatos 2013
Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Macromitrium,cf. podocarpii,43,,homoi,,,Pardow & Lakatos 2013
Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Macromitrium,leprieurii,43,,homoi,,,Pardow & Lakatos 2013
Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Orthotrichum,anomalum,30,,homoi,,,Alpert & Oliver 2002
Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Orthotrichum,cupulatum,30,,homoi,,,Deltoro et al 1998
Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Orthotrichum,rupestre,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Orthotrichum,stramineum,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Orthotrichum,tenellum,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Ulota,crispa,30,,homoi,,,"Hosokawa & Kubota 1957, Proctor 2003"
Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Ulota,ludwigii,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Pottiales,Pottiaceae,Aloina,aloides,,,homoi,hardening,"yes, life stages",Brinda et al 2016
Bryophyta,Bryopsida,Pottiales,Pottiaceae,Anoectangium,aestivum,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Pottiales,Pottiaceae,Anoectangium,compactum,,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Pottiales,Pottiaceae,Barbula,aurea,measured in water content (dry weight ),,,,,Rundel & Lange 1980
Bryophyta,Bryopsida,Pottiales,Pottiaceae,Barbula,fallax,,,homoi,,,Di nola et al 1983
Bryophyta,Bryopsida,Pottiales,Pottiaceae,Barbula,unguiculata,75,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Pottiales,Pottiaceae,Bryoerythrophyllum,recurvirostrum,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Pottiales,Pottiaceae,Crossidium,crassinerve,30,,homoi,,,Stark & Delgadillo 2003
,Bryopsida,Pottiales,Pottiaceae,Didymodon,fallax ,50,,homoi,,,Cruz de Carvalho et al. 2020
Bryophyta,Bryopsida,Pottiales,Pottiaceae,Didymodon,insulanus,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Pottiales,Pottiaceae,Didymodon,tophaceus,,,homoi,,,Di nola et al 1983
Bryophyta,Bryopsida,Pottiales,Pottiaceae,Pleurochaete,squarrosa,30,,homoi,,,"Deltoro 1998, Proctor 2001, Proctor 2003, Cruz de Carvalho 2019"
Bryophyta,Bryopsida,Pottiales,Pottiaceae,Pseudocrossidium,crinitum,,,homoi,,,Rundel & Lange 1980
Bryophyta,Bryopsida,Pottiales,Pottiaceae,Syntrichia,caninervis,30,,homoi,,,Oliver et al 1993
Bryophyta,Bryopsida,Pottiales,Pottiaceae,Syntrichia,intermedia,30,,homoi,,,Hearnshaw and Proctor 1982
Bryophyta,Bryopsida,Pottiales,Pottiaceae,Syntrichia,norvegica,30,,homoi,,,Oliver et al 1993
Bryophyta,Bryopsida,Pottiales,Pottiaceae,Syntrichia,pagorum,30,,homoi,,"yes, life stages","Alpert 1979, Stark et al. 2016"
Bryophyta,Bryopsida,Pottiales,Pottiaceae,Syntrichia,ruraliformis,30,,homoi,,,Dilks and Proctor 1974
Bryophyta,Bryopsida,Pottiales,Pottiaceae,Syntrichia,ruralis,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Pottiales,Pottiaceae,Tortella,inclinata,30,,homoi,,,Di nola et al 1983
,Bryopsida,Pottiales,Pottiaceae,Tortella,nitida,50,,homoi,,,Cruz de Carvalho et al. 2020
Bryophyta,Bryopsida,Pottiales,Pottiaceae,Tortella,tortuosa,,,homoi,,,Cruz de Carvalho 2019
Bryophyta,Bryopsida,Pottiales,Pottiaceae,Tortula,brevissima,,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Pottiales,Pottiaceae,Tortula,inermis,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Pottiales,Pottiaceae,Tortula,lanceola,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Pottiales,Pottiaceae,Tortula,muralis,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Pottiales,Pottiaceae,Tortula,revolvens,30,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Pottiales,Pottiaceae,Triquetrella,papillata,,,homoi,,,Oliver et al 2000
Bryophyta,Bryopsida,Pottiales,Pottiaceae,Weissia,controversa,,,homoi,,,Alpert 1979
Bryophyta,Bryopsida,Rhizogoniales,Rhizogoniaceae,Pyrrhobryum,spiniforme,75,,homoi,,,Wood 2007
Bryophyta,Bryopsida,Splachnales,Splachnaceae,Splachnum,sphaericum,75,,homoi,priming,,Wood 2007
Bryophyta,Bryopsida,Timmiales,Timmiaceae,Timmia,austriaca,30,,homoi,priming,,Wood 2007
Bryophyta,Bryopsida,,Pterobryaceae,Orthostichopsis,tetragona,43,,homoi,,,Pardow & Lakatos 2013
Bryophyta,Dicranidae,Dicranales,Calymperaceae,Octoblepharum,albidum,,,homoi,,,Egunyomi 1979
Bryophyta,Dicranidae,Pseudoditrichales,Ditrichaceae,Ceratodon,purpureus,30,,homoi,,,Wood 2007
Bryophyta,Polytrichopsida,Polytrichales,Polytrichaceae,Atrichum,androgynum,30,,homoi,,,Beckett et al 2005
Bryophyta,Polytrichopsida,Polytrichales,Polytrichaceae,Atrichum,undulatum,30,,homoi,priming,,Beckett et al 2000
Bryophyta,Polytrichopsida,Polytrichales,Polytrichaceae,Pogonatum,aloides,30,,homoi,priming,,Wood 2007
Bryophyta,Polytrichopsida,Polytrichales,Polytrichaceae,Pogonatum,perichaetiale,30,,homoi,,,Proctor 2005
Bryophyta,Polytrichopsida,Polytrichales,Polytrichaceae,polytrichadelphus,aristatus,30,,homoi,,,Proctor 2005
Bryophyta,Polytrichopsida,Polytrichales,Polytrichaceae,Polytrichum,formosum,30,,homoi,,,"Ochi 1952, Proctor 2010"
Bryophyta,Polytrichopsida,Polytrichales,Polytrichaceae,Polytrichum,juniperinum,30,,homoi,,,Proctor 2005
Bryophyta,Tetraphidopsida,Tetraphidales,Tetraphidacae,Tetraphis,pellucida,75,,homoi,,,Wood 2007
Marchantiophyta,Jungermanniopsida,Fossombroniales,Fossombroniaceae,Fossombronia,foveolata,30,,homoi,,,Wood 2007
Marchantiophyta,Jungermanniopsida,Jungermanniales,Adelanthaceae,Jamesoniella,carringtonii,30,,homoi,,"yes, not all cells survive",Clausen 1964
Marchantiophyta,Jungermanniopsida,Jungermanniales,Anastrophyllaceae,Isopaches,bicrenatus,30,,homoi,,,Wood 2007
Marchantiophyta,Jungermanniopsida,Jungermanniales,Arnelliaceae,Southbya,nigrella,,,homoi,,,Pressel et al 2009
Marchantiophyta,Jungermanniopsida,Jungermanniales,Arnelliaceae,Southbya,tophacea,,,homoi,,,Pressel et al 2009
Marchantiophyta,Jungermanniopsida,Jungermanniales,Blepharostomataceae,Blepharostoma,trichophyllum,75,,homoi,,"yes, not all cells survive",Clausen 1964
Marchantiophyta,Jungermanniopsida,Jungermanniales,Calypogeiaceae,Calypogeia,trichomanes,75,,homoi,,,Wood 2007
Marchantiophyta,Jungermanniopsida,Jungermanniales,Cephaloziaceae,Cephalozia,pleniceps,84,,homoi,,no,Clausen 1964
Marchantiophyta,Jungermanniopsida,Jungermanniales,Cephaloziellaceae,Cephaloziella,byssacea,30,,homoi,,,Wood 2007
Marchantiophyta,Jungermanniopsida,Jungermanniales,Geocalycaceae,Saccogyna,viticulosa,43,,homoi,,"yes, not all cells survive","Pressel et al 2009, Proctor 2010, Clausen 1964"
Marchantiophyta,Jungermanniopsida,Jungermanniales,Gymnomitriaceae,Gymnomitrion,corallioides,15,,homoi,,no,Clausen 1964
Marchantiophyta,Jungermanniopsida,Jungermanniales,Gymnomitriaceae,Nardia,scalaris,30,,homoi,,,Wood 2007
Marchantiophyta,Jungermanniopsida,Jungermanniales,Herbertaceae,Herbertus,aduncus,15,,homoi,,no,Clausen 1964
Marchantiophyta,Jungermanniopsida,Jungermanniales,Herbertaceae,Herbertus,juniperinus,75,,homoi,,,Wood 2007
Marchantiophyta,Jungermanniopsida,Jungermanniales,Jungermanniineae,Barbilophozia,barbata,30,,homoi,,,Wood 2007
Marchantiophyta,Jungermanniopsida,Jungermanniales,Jungermanniineae,Barbilophozia,hatcheri,30,,homoi,,,Wood 2007
Marchantiophyta,Jungermanniopsida,Jungermanniales,lagiochilaceae,Plagiochila,asplenioides,30,,homoi,,,Wood 2007
Marchantiophyta,Jungermanniopsida,Jungermanniales,lagiochilaceae,Plagiochila,,75,,homoi,,,Wood 2007
Marchantiophyta,Jungermanniopsida,Jungermanniales,Lepidoziaceae,Bazzania,cuneistipula,75,,homoi,,,Wood 2007
Marchantiophyta,Jungermanniopsida,Jungermanniales,Lepidoziaceae,Bazzania,stolonifera,75,,homoi,,,Wood 2007
Marchantiophyta,Jungermanniopsida,Jungermanniales,Lepidoziaceae,Bazzania,tricrenata,33,,homoi,,"yes, not all cells survive",Clausen 1964
Marchantiophyta,Jungermanniopsida,Jungermanniales,Lepidoziaceae,Bazzania,trilobata,30,,homoi,,,Wood 2007
Marchantiophyta,Jungermanniopsida,Jungermanniales,Lepidoziaceae,Lepidozia,reptans,30,,homoi,,,Wood 2007
Marchantiophyta,Jungermanniopsida,Jungermanniales,Lophocoleaceae,Lophocolea,cuspidata,75,,homoi,,,Wood 2007
Marchantiophyta,Jungermanniopsida,Jungermanniales,Lophocoleaceae,Lophocolea,fragrans,75,,homoi,,"yes, not all cells survive",Clausen 1964
Marchantiophyta,Jungermanniopsida,Jungermanniales,Lophocoleaceae,Lophocolea,heterophylla,30,,homoi,,,Wood 2007
Marchantiophyta,Jungermanniopsida,Jungermanniales,Lophoziaceae,Lophozia,alpestris,33,,homoi,,"yes, not all cells survive",Clausen 1964
Marchantiophyta,Jungermanniopsida,Jungermanniales,Lophoziaceae,Tritomaria,exsectiformis,30,,homoi,,"yes, not all cells survive",Clausen 1964
Marchantiophyta,Jungermanniopsida,Jungermanniales,Lophoziaceae,Tritomaria,quinquedentata,30,,homoi,,"yes, not all cells survive",Clausen 1964
Marchantiophyta,Jungermanniopsida,Jungermanniales,Mastigophoraceae,Mastigophora,woodsii,30,,homoi,,no,Clausen 1964
Marchantiophyta,Jungermanniopsida,Jungermanniales,Myliaceae,Mylia,taylori,84,,homoi,,"yes, not all cells survive",Clausen 1964
Marchantiophyta,Jungermanniopsida,Jungermanniales,Scapaniaceae,Diplophyllum,albicans,75,,homoi,,"yes, not all cells survive",Clausen 1964
Marchantiophyta,Jungermanniopsida,Jungermanniales,Trichocoleaceae,Trichocolea,elliottii,75,,homoi,,,Wood 2007
Marchantiophyta,Jungermanniopsida,Metzgeriales,Aneuraceae,riccardia,pinguis,84,,homoi,,"yes, not all cells survive",Clausen 1964
Marchantiophyta,Jungermanniopsida,Metzgeriales,Metzgeriaceae,Metzgeria,conjugata,30,,homoi,,"yes, not all cells survive",Clausen 1964
Marchantiophyta,Jungermanniopsida,Metzgeriales,Metzgeriaceae,Metzgeria,furcata,30,,homoi,,"yes, not all cells survive",Clausen 1964
Marchantiophyta,Jungermanniopsida,Metzgeriales,Metzgeriaceae,Metzgeria,hamata,75,,homoi,,,Wood 2007
Marchantiophyta,Jungermanniopsida,Pallaviciniales,Pallaviciniaceae,Pallavicinia,lyellii,,,homoi,"yes, ABA priming",,Pence et al 2005
Marchantiophyta,Jungermanniopsida,Pleuroziales,Pleuroziaceae,Pleurozia,purpurea,15,,homoi,,no,Clausen 1964
Marchantiophyta,Jungermanniopsida,Porellales,Frullaniaceae,Frullania,dilatata,30,,homoi,,,"Clausen 1952, Hearnshaw & Protcor 1982, Deltoro et al 1998"
Marchantiophyta,Jungermanniopsida,Porellales,Frullaniaceae,Frullania,germana,15,,homoi,,no,Clausen 1964
Marchantiophyta,Jungermanniopsida,Porellales,Frullaniaceae,Frullania,moniliata,30,,homoi,,,Hosokawa & Kubota 1957
Marchantiophyta,Jungermanniopsida,Porellales,Frullaniaceae,Frullania,nodulosa,43,,homoi,,,Pardow & Lakatos 2013
Marchantiophyta,Jungermanniopsida,Porellales,Frullaniaceae,Frullania,peruviana,80,,homoi,,,Leon-Vargas et al 2006
Marchantiophyta,Jungermanniopsida,Porellales,Frullaniaceae,Frullania,tamarisci,,,homoi,,,Hearnshaw and Proctor 1982
Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae,Lejeunea,patens,43,,homoi,,"yes, not all cells survive",Clausen 1964
Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae,Omphalanthus,filiformis,75,,homoi,,,Wood 2007
Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae,Archilejeunea,parviﬂora,43,,homoi,,,Pardow & Lakatos 2013
Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae,Ceratolejeunea,cornuta,43,,homoi,,,Pardow & Lakatos 2013
Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae,Mastigolejeunea,plicatiﬂora,43,,homoi,,,Pardow & Lakatos 2013
Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae,Stictolejeunea,squamata,43,,homoi,,,Pardow & Lakatos 2013
Marchantiophyta,Jungermanniopsida,Porellales,Porellaceae,Cololejeunea,calcarea,30,,homoi,,,Wood 2007
Marchantiophyta,Jungermanniopsida,Porellales,Porellaceae,Porella,obtusata,30,,homoi,,,Proctor 2003
Marchantiophyta,Jungermanniopsida,Porellales,Porellaceae,Porella,platyphylla,30,,homoi,,,"Pressel et al 2009 , Marschall & Proctor 2013, Proctor 2010, Hearnshaw and Proctor 1982, Deltoro et al 1998"
Marchantiophyta,Jungermanniopsida,Porellales,Radulaceae,Radula,aquilegia,30,,homoi,,"yes, not all cells survive",Clausen 1964
Marchantiophyta,Jungermanniopsida,Porellales,Radulaceae,Radula,complanata,15,,homoi,,no,Clausen 1964
Marchantiophyta,Jungermanniopsida,Ptilidiales,Ptilidiaceae,Ptilidium,ciliare,30,,homoi,,,Clausen 1964
Marchantiophyta,Jungermanniopsida,Ptilidiales,Ptilidiaceae,Ptilidium,pulcherrimum,15,,homoi,,no,Clausen 1964
Marchantiophyta,Marchantiopsida,Marchantiales,Aytoniaceae,Mannia,fragrans,15,,homoi,,no,Clausen 1964
Marchantiophyta,Marchantiopsida,Marchantiales,Aytoniaceae,Plagiochasma,rupestre,30,,homoi,,,Wood 2007
Marchantiophyta,Marchantiopsida,Marchantiales,Exormothecaceae,Exormotheca,holstii,30,,homoi,"yes, tolerance lost when grown in mesic conditions",,Hellwege 1994
Marchantiophyta,Marchantiopsida,Marchantiales,Exormothecaceae,Exormotheca,putulosa,50,,homoi,,,Proctor 2010
Marchantiophyta,Marchantiopsida,Marchantiales,Marchantiaceae,Corsinia,coriandrina,30,,homoi,,,Wood 2007
Marchantiophyta,Marchantiopsida,Marchantiales,Marchantiaceae,Marchantia,inflexa,75,,homoi,,"yes, meristem survives more","Marks 2016, Marks 2019, Marks in reveiw, Steiha et al. 2014"
Marchantiophyta,Marchantiopsida,Marchantiales,Marchantiaceae,Marchantia,polymorpha,75,,homoi,"yes, ABA priming",,Hatanaka and Sugawara 2010
Marchantiophyta,Marchantiopsida,Marchantiales,Ricciaceae,Riccia,bicarinata,30,,homoi,,,Wood 2007
Marchantiophyta,Marchantiopsida,Marchantiales,Ricciaceae,Riccia,fluitans,30,,homoi,"yes, ABA priming",,"Volk 1984, Pence et al 2005"
Marchantiophyta,Marchantiopsida,Marchantiales,Ricciaceae,Riccia,macrocarpa,,,homoi,,,Breuil-See 1993
Marchantiophyta,Marchantiopsida,Marchantiales,Ricciaceae,Riccia,okahandjana,30,,homoi,,,"Pressel et al 2009, Proctor 2010"
Marchantiophyta,Marchantiopsida,Marchantiales,ricciaceae,Riccia,sorocarpa,30,,homoi,,,Wood 2007
Marchantiophyta,Marchantiopsida,Marchantiales,Scapaniaceae,Scapania,aspera,50,,homoi,,"yes, not all cells survive",Clausen 1964
Marchantiophyta,Marchantiopsida,Marchantiales,Scapaniaceae,Scapania,gracilis,33,,homoi,,,"Pressel 2009, Proctor 2010, Clausen 1964"
Marchantiophyta,Marchantiopsida,Marchantiales,Targioniaceae,Targionia,hypophylla,30,,homoi,,,Proctor 2010
Pteridophytes,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,bryopteris,,4.25,homoi,,,Deeba et al 2016
Pteridophytes,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,caffrorum,0,,homoi,,,Gaff 1977
Pteridophytes,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,convoluta,,7.2,homoi,,,Gaff 1987
Pteridophytes,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,digitata,0,,homoi,,yes,Gaff 1977
Pteridophytes,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,dregei,2,,homoi,,,Gaff 1977
Pteridophytes,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,echinata,2,,homoi,,,Gaff 1977
Pteridophytes,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,imbricata,2,,homoi,,,Gaff 1977
Pteridophytes,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,involvens,,,homoi,,,Plancot et al 2019
Pteridophytes,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,lepidophylla,,,homoi,,,"Gaff 1971, Eickmeier 1979, Iturriaga et al 2000"
Pteridophytes,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,nivea,0,,homoi,,,Gaff 1977
Pteridophytes,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,njam-njamensis,,,homoi,,,Hambler 1961
Pteridophytes,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,peruviana,,,homoi,,,Gaff 1987
Pteridophytes,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,pilifera,,,homoi,,,Eickmeier 1979
Pteridophytes,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,sartorii,,,homoi,,,Iturriaga et al 2000
Pteridophytes,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,sellowii,,,homoi,,,Gaff 1987
Pteridophytes,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,tamariscina,,,homoi,,,Xu et al 2018
Pteridophytes,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,underwoodii,50,,homoi,,,Proctor 2010
Pteridophytes,lycopsida,Isoetales,Isoetaceae,Isoetes,australis,,,homoi,,,Gaff and Latz 1978
Pteridophytes,Polypodiopsida,Hymenophyllales,Hymenophyllaceae,Crepidomanes,inopinatum,,15,homoi,yes,,Mkhize et al. 2020
Pteridophytes,Polypodiopsida,Hymenophyllales,Hymenophyllaceae,Hymenophyllum,caudiculatum,,,homoi,,,Garces Cea et al 2014
Pteridophytes,Polypodiopsida,Hymenophyllales,Hymenophyllaceae,Hymenophyllum,dentatum,,18,homoi,,,Garces Cea et al 2014
Pteridophytes,Polypodiopsida,Hymenophyllales,Hymenophyllaceae,Hymenophyllum,cruentum,,20,homoi,,,Fallard et al 2018
Pteridophytes,Polypodiopsida,Hymenophyllales,Hymenophyllaceae,hymenophyllum,sanguinolrntum,,,homoi,,,Proctor and Pence 2002
Pteridophytes,Polypodiopsida,Hymenophyllales,Hymenophyllaceae,hymenophyllum,tunbriggense,,,homoi,,,Proctor and Pence 2002
Pteridophytes,Polypodiopsida,Hymenophyllales,Hymenophyllaceae,hymenophyllum,wilsonii,50,,homoi,,,"Proctor and Pence 2002, Proctor 2010"
Pteridophytes,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,adiantun-nigrum,50,,homoi,,,Proctor 2010
Pteridophytes,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,aethiopicum,15,,homoi,,,Gaff 1977
Pteridophytes,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,bipinnatum,,,homoi,,,Gaff 1977
Pteridophytes,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,bourgaei,,,homoi,,,Greuter et al 1983
Pteridophytes,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,ceterach,50,,homoi,,,Proctor 2010
Pteridophytes,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,obovatum,50,,homoi,,,Proctor 2010
Pteridophytes,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,pringlei,,,homoi,,,Wittrock 1891
Pteridophytes,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,ruta-muraria,50,,homoi,,,"Kappen 1964, Proctor 2010"
Pteridophytes,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,rutifolium,30,,homoi,,,Gaff 1977
Pteridophytes,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,sandersoni,10,,homoi,,,Gaff 1977
Pteridophytes,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,septentrionale,50,,homoi,,,"Kappen 1964, Proctor 2010"
Pteridophytes,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,trichomanes,50,,homoi,,,"Wittrock 1891, Kappen 1964, Proctor 2010"
Pteridophytes,Polypodiopsida,Polypodiales,Aspleniaceae,Ceterach,cordatum,5,,homoi,,,Gaff 1977
Pteridophytes,Polypodiopsida,Polypodiales,Aspleniaceae,Ceterach,officinarum,,,homoi,,,"Oppenheimer and Halevy 1962, Schwab et al 1989"
Pteridophytes,Polypodiopsida,Polypodiales,Aspleniaceae,Pleurosorus,rutifolius,,,homoi,,,Gaff and Latz 1978
Pteridophytes,Polypodiopsida,Polypodiales,Davalliaceae,Arthropteris,orientalis,15,,homoi,,,Gaff 1977
