"Order","Kingdom","Genus","Species","Class","Phylum","Family"
"Thiohalomonadales","Bacteria",NA,NA,NA,NA,NA
"Steroidobacterales","Bacteria",NA,NA,NA,NA,NA
"Kangiellales","Bacteria",NA,NA,NA,NA,NA
"Moraxellales","Bacteria",NA,NA,NA,NA,NA
"Immundisolibacterales","Bacteria",NA,NA,NA,NA,NA
"Nevskiales","Bacteria",NA,NA,NA,NA,NA
"Cellvibrionales","Bacteria",NA,NA,NA,NA,NA
"Acidiferrobacterales","Bacteria",NA,NA,NA,NA,NA
"Arenicellales","Bacteria",NA,NA,NA,NA,NA
"Orbales","Bacteria",NA,NA,NA,NA,NA
"Salinisphaerales","Bacteria",NA,NA,NA,NA,NA
"Pasteurellales","Bacteria",NA,NA,NA,NA,NA
"Aeromonadales","Bacteria",NA,NA,NA,NA,NA
"Vibrionales","Bacteria",NA,NA,NA,NA,NA
"Alteromonadales","Bacteria",NA,NA,NA,NA,NA
"Oceanospirillales","Bacteria",NA,NA,NA,NA,NA
"Methylococcales","Bacteria",NA,NA,NA,NA,NA
"Cardiobacteriales","Bacteria",NA,NA,NA,NA,NA
"Lysobacterales","Bacteria",NA,NA,NA,NA,NA
"Chromatiales","Bacteria",NA,NA,NA,NA,NA
"Legionellales","Bacteria",NA,NA,NA,NA,NA
"Enterobacterales","Bacteria",NA,NA,NA,NA,NA
"Pseudomonadales","Bacteria",NA,NA,NA,NA,NA
"Thiotrichales","Bacteria",NA,NA,NA,NA,NA
"Caldisericales","Bacteria",NA,NA,NA,NA,NA
"Nitrospinales","Bacteria",NA,NA,NA,NA,NA
"Thermomicrobiales","Bacteria",NA,NA,NA,NA,NA
"Sphaerobacterales","Bacteria",NA,NA,NA,NA,NA
"Abditibacteriales","Bacteria",NA,NA,NA,NA,NA
"Vulcanimicrobiales","Bacteria",NA,NA,NA,NA,NA
"Mycoplasmoidales","Bacteria",NA,NA,NA,NA,NA
"Haloplasmatales","Bacteria",NA,NA,NA,NA,NA
"Anaeroplasmatales","Bacteria",NA,NA,NA,NA,NA
"Acholeplasmatales","Bacteria",NA,NA,NA,NA,NA
"Entomoplasmatales","Bacteria",NA,NA,NA,NA,NA
"Mycoplasmatales","Bacteria",NA,NA,NA,NA,NA
"Thermincolales","Bacteria",NA,NA,NA,NA,NA
"Carboxydocellales","Bacteria",NA,NA,NA,NA,NA
"Miltoncostaeales","Bacteria",NA,NA,NA,NA,NA
"Gaiellales","Bacteria",NA,NA,NA,NA,NA
"Thermoleophilales","Bacteria",NA,NA,NA,NA,NA
"Solirubrobacterales","Bacteria",NA,NA,NA,NA,NA
"Stomatohabitantales","Bacteria",NA,NA,NA,NA,NA
"Salsipaludibacterales","Bacteria",NA,NA,NA,NA,NA
"Egicoccales","Bacteria",NA,NA,NA,NA,NA
"Egibacterales","Bacteria",NA,NA,NA,NA,NA
"Euzebyales","Bacteria",NA,NA,NA,NA,NA
"Nitriliruptorales","Bacteria",NA,NA,NA,NA,NA
"Anaerosomatales","Bacteria",NA,NA,NA,NA,NA
"Eggerthellales","Bacteria",NA,NA,NA,NA,NA
"Coriobacteriales","Bacteria",NA,NA,NA,NA,NA
"Rubrobacterales","Bacteria",NA,NA,NA,NA,NA
"Acidimicrobiales","Bacteria",NA,NA,NA,NA,NA
"Jatrophihabitantales","Bacteria",NA,NA,NA,NA,NA
"Motilibacterales","Bacteria",NA,NA,NA,NA,NA
"Sporichthyales","Bacteria",NA,NA,NA,NA,NA
"Cryptosporangiales","Bacteria",NA,NA,NA,NA,NA
"Nakamurellales","Bacteria",NA,NA,NA,NA,NA
"Acidothermales","Bacteria",NA,NA,NA,NA,NA
"Geodermatophilales","Bacteria",NA,NA,NA,NA,NA
"Jiangellales","Bacteria",NA,NA,NA,NA,NA
"Kineosporiales","Bacteria",NA,NA,NA,NA,NA
"Actinopolysporales","Bacteria",NA,NA,NA,NA,NA
"Catenulisporales","Bacteria",NA,NA,NA,NA,NA
"Glycomycetales","Bacteria",NA,NA,NA,NA,NA
"Frankiales","Bacteria",NA,NA,NA,NA,NA
"Streptosporangiales","Bacteria",NA,NA,NA,NA,NA
"Kitasatosporales","Bacteria",NA,NA,NA,NA,NA
"Pseudonocardiales","Bacteria",NA,NA,NA,NA,NA
"Propionibacteriales","Bacteria",NA,NA,NA,NA,NA
"Micromonosporales","Bacteria",NA,NA,NA,NA,NA
"Mycobacteriales","Bacteria",NA,NA,NA,NA,NA
"Micrococcales","Bacteria",NA,NA,NA,NA,NA
"Bifidobacteriales","Bacteria",NA,NA,NA,NA,NA
"Actinomycetales","Bacteria",NA,NA,NA,NA,NA
"Tepidiformales","Bacteria",NA,NA,NA,NA,NA
"Thermoflexales","Bacteria",NA,NA,NA,NA,NA
"Ardenticatenales","Bacteria",NA,NA,NA,NA,NA
"Caldilineales","Bacteria",NA,NA,NA,NA,NA
"Thermogemmatisporales","Bacteria",NA,NA,NA,NA,NA
"Ktedonobacterales","Bacteria",NA,NA,NA,NA,NA
"Dehalococcoidales","Bacteria",NA,NA,NA,NA,NA
"Aggregatilineales","Bacteria",NA,NA,NA,NA,NA
"Anaerolineales","Bacteria",NA,NA,NA,NA,NA
"Kallotenuales","Bacteria",NA,NA,NA,NA,NA
"Herpetosiphonales","Bacteria",NA,NA,NA,NA,NA
